genre,count
pop,39084
dance pop,34488
pop rap,30478
rap,22786
contemporary country,20835
country,19564
country road,18724
post-teen pop,17587
hip hop,17189
r&b,14743
urban contemporary,13895
trap,12629
southern hip hop,12129
pop rock,10758
hip pop,10404
modern country rock,8696
neo mellow,7046
post-grunge,6828
gangster rap,6312
atl hip hop,5451
alternative metal,4680
neo soul,4452
dirty south rap,4365
country dawn,3966
modern rock,3917
nu metal,3596
canadian pop,3475
rock,3455
melodic rap,2640
deep pop r&b,2471
edm,2385
new jack swing,2227
permanent wave,2210
miami hip hop,2193
country pop,2155
oklahoma country,2114
latin,2107
tropical house,2081
electropop,2073
uk pop,2022
east coast hip hop,2001
alternative rock,1976
viral pop,1918
quiet storm,1829
chicago rap,1690
redneck,1663
pop punk,1587
crunk,1582
country rock,1476
toronto rap,1475
canadian hip hop,1447
boy band,1391
hardcore hip hop,1299
queens hip hop,1272
talent show,1231
emo,1214
europop,1168
acoustic pop,1132
alternative r&b,1126
conscious hip hop,1112
australian pop,1090
detroit hip hop,1042
rap rock,980
latin pop,975
barbadian pop,973
g funk,938
girl group,915
canadian rock,869
tropical,860
piano rock,858
indie pop,854
electro house,808
indie poptimism,808
rap metal,804
west coast rap,790
new orleans rap,786
metropopolis,777
candy pop,775
lilith,737
australian country,725
philly rap,724
funk metal,713
reggaeton,702
dfw rap,668
canadian contemporary r&b,654
soul,650
mexican pop,643
adult standards,635
nc hip hop,606
british soul,604
trap queen,586
hollywood,573
arkansas country,506
atl trap,485
underground hip hop,471
texas country,462
uk dance,428
house,424
new wave pop,424
brostep,423
dancehall,420
progressive house,419
funk,416
singer-songwriter,407
latin hip hop,406
idol,399
garage rock,398
mellow gold,397
baroque pop,393
big room,389
art pop,384
reggae fusion,384
cali rap,382
bronx hip hop,380
folk-pop,356
country rap,352
stomp and holler,351
neon pop punk,350
emo rap,346
punk,334
indie rock,327
funk rock,325
memphis hip hop,319
modern alternative rock,316
lgbtq+ hip hop,309
progressive electro house,300
alternative hip hop,296
blues rock,292
colombian pop,288
eurodance,285
classic rock,285
baton rouge rap,283
australian dance,279
folk,277
pop emo,273
soft rock,273
motown,272
pixie,269
canadian country,266
wrestling,264
glee club,259
complextro,256
vapor trap,255
etherpop,249
pittsburgh rap,248
escape room,246
indietronica,242
comic,236
german techno,234
new jersey rap,226
trap latino,225
houston rap,224
social media pop,224
puerto rican pop,216
deep southern trap,207
heartland rock,206
alternative dance,197
bubblegum dance,195
alberta country,191
outlaw country,189
country gospel,186
